yearID,gameID
1933,ALS193307060
1934,NLS193407100
1935,ALS193507080
1936,NLS193607070
1937,ALS193707070
1938,NLS193807060
1939,ALS193907110
1940,NLS194007090
1941,ALS194107080
1942,NLS194207060
1943,ALS194307130
1944,NLS194407110
1945,N/A
1946,ALS194607090
1947,NLS194707080
1948,ALS194807130
1949,NLS194907120
1950,ALS195007110
1951,ALS195107100
1952,NLS195207080
1953,NLS195307140
1954,ALS195407130
1955,NLS195507120
1956,ALS195607100
1957,NLS195707090
1958,ALS195807080
1959,NLS195907070
1960,ALS196007130
1961,ALS196107310
1962,ALS196207100
1963,ALS196307090
1964,NLS196407070
1965,ALS196507130
1966,NLS196607120
1967,ALS196707110
1968,NLS196807090
1969,ALS196907230
1970,NLS197007140
1971,ALS197107130
1972,NLS197207250
1973,ALS197307240
1974,NLS197407230
1975,ALS197507150
1976,NLS197607130
1977,ALS197707190
1978,NLS197807110
1979,ALS197907170
1980,NLS198007080
1981,ALS198108090
1982,NLS198207130
1983,ALS198307060
1984,NLS198407100
1985,ALS198507160
1986,NLS198607150
1987,ALS198707140
1988,NLS198807120
1989,ALS198907110
1990,NLS199007100
1991,ALS199107090
1992,NLS199207140
1993,ALS199307130
1994,NLS199407120
1995,ALS199507110
1996,NLS199607090
1997,ALS199707080
1998,NLS199807070
1999,ALS199907130
2000,NLS200007110
2001,ALS200107100
2002,NLS200207090
2003,ALS200307150
2004,NLS200407130
2005,ALS200507120
2006,NLS200607110
2007,NLS200707100
2008,ALS200807150
2009,NLS200907140
2010,ALS201007130
2011,NLS201107120
2012,ALS201207100
2013,NLS201307160
2014,ALS201407150
2015,NLS201507140
