playerID,yearID,teamID,inseason,games,rank
wrighha01,1871,BS1,1,31,3
woodji01,1871,CH1,1,28,2
paborch01,1871,CL1,1,29,8
lennobi01,1871,FW1,1,14,8
deaneha01,1871,FW1,2,5,8
fergubo01,1871,NY2,1,33,5
mcbridi01,1871,PH1,1,28,1
hastisc01,1871,RC1,1,25,9
pikeli01,1871,TRO,1,4,6
cravebi01,1871,TRO,2,25,6
youngni99,1871,WS3,1,32,4
cravebi01,1872,BL1,1,41,2
millsev01,1872,BL1,2,17,2
clintji01,1872,BR1,1,11,9
woodji01,1872,BR1,2,18,9
fergubo01,1872,BR2,1,37,7
wrighha01,1872,BS1,1,48,1
hastisc01,1872,CL1,1,20,7
whitede01,1872,CL1,2,2,7
clappjo01,1872,MID,1,24,9
pearcdi01,1872,NY2,1,16,3
hatfijo01,1872,NY2,2,40,3
mcbridi01,1872,PH1,1,47,2
woodji01,1872,TRO,1,25,5
youngni99,1872,WS3,1,9,8
millejo01,1872,WS4,1,11,11
mcveyca01,1873,BL1,1,33,3
careyto01,1873,BL1,2,24,3
smithbi01,1873,BL4,1,5,9
fergubo01,1873,BR2,1,55,6
wrighha01,1873,BS1,1,60,1
allisdo01,1873,ELI,1,23,8
hatfijo01,1873,NY2,1,28,4
startjo01,1873,NY2,2,25,4
mcbridi01,1873,PH1,1,52,4
malonfe01,1873,PH2,1,10,2
woodji01,1873,PH2,2,43,2
youngni99,1873,WS5,1,39,7
whitewa01,1874,BL1,1,47,8
fergubo01,1874,BR2,1,56,6
wrighha01,1874,BS1,1,71,1
malonfe01,1874,CH2,1,36,5
woodji01,1874,CH2,2,23,5
pikeli01,1874,HR1,1,53,7
careyto01,1874,NY2,1,25,2
highadi01,1874,NY2,2,40,2
mcbridi01,1874,PH1,1,56,3
cravebi01,1874,PH2,1,58,4
paborch01,1875,BR2,1,42,12
boydbi01,1875,BR2,2,2,12
wrighha01,1875,BS1,1,82,1
woodji01,1875,CH2,1,69,6
fergubo01,1875,HR1,1,86,3
simmojo01,1875,KEO,1,13,12
gouldch01,1875,NH1,1,23,8
lathaju01,1875,NH1,2,18,8
paborch01,1875,NH1,3,6,8
hicksna01,1875,NY2,1,71,7
mcbridi01,1875,PH1,1,69,2
ansonca01,1875,PH1,2,8,2
mcgeami01,1875,PH2,1,63,5
addybo01,1875,PH2,2,7,5
cravebi01,1875,PH3,1,14,11
sweasch01,1875,SL1,1,19,8
pearcdi01,1875,SL2,1,72,4
holliho01,1875,WS6,1,20,10
parksbi01,1875,WS6,2,8,10
wrighha01,1876,BSN,1,70,4
spaldal01,1876,CHN,1,66,1
gouldch01,1876,CN1,1,65,8
fergubo01,1876,HAR,1,69,3
chapmja01,1876,LS1,1,69,5
cammebi99,1876,NY3,1,57,6
wrighal99,1876,PHN,1,60,7
graffma99,1876,SL3,1,56,2
mcmange99,1876,SL3,2,8,2
wrighha01,1877,BSN,1,61,1
spaldal01,1877,CHN,1,60,5
pikeli01,1877,CN1,1,14,6
addybo01,1877,CN1,2,24,6
mannija01,1877,CN1,3,20,6
fergubo01,1877,HAR,1,60,3
chapmja01,1877,LS1,1,61,2
mcmange99,1877,SL3,1,60,4
wrighha01,1878,BSN,1,60,1
fergubo01,1878,CHN,1,61,4
mcveyca01,1878,CN1,1,61,2
clappjo01,1878,IN1,1,63,5
chapmja01,1878,ML2,1,61,6
yorkto01,1878,PRO,1,62,3
clappjo01,1879,BFN,1,79,3
wrighha01,1879,BSN,1,84,2
ansonca01,1879,CHN,1,64,4
flintsi01,1879,CHN,2,19,4
