teamIDBR,teamIDLahman45,teamIDretro,yearID
BOS,BS1,BS1,1871
CHI,CH1,CH1,1871
CLE,CL1,CL1,1871
KEK,FW1,FW1,1871
NYU,NY2,NY2,1871
ATH,PH1,PH1,1871
ROK,RC1,RC1,1871
TRO,TRO,TRO,1871
OLY,WS3,WS3,1871
BAL,BL1,BL1,1872
ECK,BR1,BR1,1872
BRA,BR2,BR2,1872
BOS,BS1,BS1,1872
CLE,CL1,CL1,1872
MAN,MID,MID,1872
NYU,NY2,NY2,1872
ATH,PH1,PH1,1872
TRO,TRO,TRO,1872
OLY,WS3,WS3,1872
NAT,WS4,WS4,1872
BAL,BL1,BL1,1873
MAR,BL4,BL4,1873
BRA,BR2,BR2,1873
BOS,BS1,BS1,1873
RES,ELI,ELI,1873
NYU,NY2,NY2,1873
ATH,PH1,PH1,1873
PHI,PH2,PH2,1873
WAS,WS5,WS5,1873
BAL,BL1,BL1,1874
BRA,BR2,BR2,1874
BOS,BS1,BS1,1874
CHI,CH2,CH2,1874
HAR,HR1,HR1,1874
NYU,NY2,NY2,1874
ATH,PH1,PH1,1874
PHI,PH2,PH2,1874
BRA,BR2,BR2,1875
BOS,BS1,BS1,1875
CHI,CH2,CH2,1875
HAR,HR1,HR1,1875
WES,KEO,KEO,1875
NHV,NH1,NH1,1875
NYU,NY2,NY2,1875
ATH,PH1,PH1,1875
PHI,PH2,PH2,1875
CEN,PH3,PH3,1875
SLR,SL1,SL1,1875
STL,SL2,SL2,1875
WAS,WS6,WS6,1875
BSN,BSN,BSN,1876
CHC,CHN,CHN,1876
CIN,CN1,CN1,1876
HAR,HAR,HAR,1876
LOU,LS1,LS1,1876
NYU,NY3,NY3,1876
ATH,PHN,PHN,1876
STL,SL3,SL3,1876
BSN,BSN,BSN,1877
CHC,CHN,CHN,1877
CIN,CN1,CN1,1877
HAR,HAR,HAR,1877
LOU,LS1,LS1,1877
STL,SL3,SL3,1877
BSN,BSN,BSN,1878
CHC,CHN,CHN,1878
CIN,CN1,CN1,1878
IND,IN1,IN1,1878
MLG,ML2,ML2,1878
PRO,PRO,PRO,1878
BUF,BFN,BFN,1879
BSN,BSN,BSN,1879
CHC,CHN,CHN,1879
CLV,CL2,CL2,1879
CIN,CN1,CN1,1879
PRO,PRO,PRO,1879
SYR,SR1,SR1,1879
TRO,TRN,TRN,1879
BUF,BFN,BFN,1880
BSN,BSN,BSN,1880
CHC,CHN,CHN,1880
CLV,CL2,CL2,1880
CIN,CN1,CN1,1880
PRO,PRO,PRO,1880
TRO,TRN,TRN,1880
WOR,WOR,WOR,1880
BUF,BFN,BFN,1881
BSN,BSN,BSN,1881
CHC,CHN,CHN,1881
CLV,CL2,CL2,1881
DTN,DTN,DTN,1881
PRO,PRO,PRO,1881
TRO,TRN,TRN,1881
WOR,WOR,WOR,1881
BUF,BFN,BFN,1882
BAL,BL2,BL2,1882
BSN,BSN,BSN,1882
CHC,CHN,CHN,1882
CLV,CL2,CL2,1882
CIN,CN2,CN2,1882
DTN,DTN,DTN,1882
LOU,LS2,LS2,1882
PHA,PH4,PH4,1882
PRO,PRO,PRO,1882
PIT,PT1,PT1,1882
STL,SL4,SL4,1882
TRO,TRN,TRN,1882
WOR,WOR,WOR,1882
BUF,BFN,BFN,1883
BAL,BL2,BL2,1883
BSN,BSN,BSN,1883
CHC,CHN,CHN,1883
CLV,CL2,CL2,1883
COL,CL5,CL5,1883
CIN,CN2,CN2,1883
DTN,DTN,DTN,1883
LOU,LS2,LS2,1883
NYG,NY1,NY1,1883
NYP,NY4,NY4,1883
PHA,PH4,PH4,1883
PHI,PHI,PHI,1883
PRO,PRO,PRO,1883
PIT,PT1,PT1,1883
STL,SL4,SL4,1883
ALT,ALT,ALT,1884
BUF,BFN,BFN,1884
BAL,BL2,BL2,1884
BLU,BLU,BLU,1884
BRO,BR3,BR3,1884
BSN,BSN,BSN,1884
BOS,BSU,BSU,1884
CHC,CHN,CHN,1884
CPI,CHU,CHU,1884
CLV,CL2,CL2,1884
COL,CL5,CL5,1884
CIN,CN2,CN2,1884
COR,CNU,CNU,1884
DTN,DTN,DTN,1884
IND,IN2,IN2,1884
KCC,KCU,KCU,1884
LOU,LS2,LS2,1884
MIL,MLU,MLU,1884
NYG,NY1,NY1,1884
NYP,NY4,NY4,1884
PHA,PH4,PH4,1884
PHI,PHI,PHI,1884
PHK,PHU,PHU,1884
PRO,PRO,PRO,1884
PIT,PT1,PT1,1884
RIC,RIC,RIC,1884
STL,SL4,SL4,1884
SLM,SLU,SLU,1884
STP,SPU,SPU,1884
TOL,TL1,TL1,1884
WIL,WIL,WIL,1884
WAS,WS7,WS7,1884
WHS,WSU,WSU,1884
BUF,BFN,BFN,1885
BAL,BL2,BL2,1885
BRO,BR3,BR3,1885
BSN,BSN,BSN,1885
CHC,CHN,CHN,1885
CIN,CN2,CN2,1885
DTN,DTN,DTN,1885
LOU,LS2,LS2,1885
NYG,NY1,NY1,1885
NYP,NY4,NY4,1885
PHA,PH4,PH4,1885
PHI,PHI,PHI,1885
PRO,PRO,PRO,1885
PIT,PT1,PT1,1885
STL,SL4,SL4,1885
SLM,SL5,SL5,1885
BAL,BL2,BL2,1886
